# HESS II Impact Energy Resolution Stereo - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Resolution
1.07e-01	2.03e-01
1.23e-01	1.94e-01
1.43e-01	1.84e-01
1.55e-01	1.79e-01
1.80e-01	1.71e-01
2.05e-01	1.65e-01
2.20e-01	1.60e-01
2.73e-01	1.50e-01
3.01e-01	1.44e-01
4.62e-01	1.33e-01
5.93e-01	1.30e-01
7.55e-01	1.19e-01
8.44e-01	1.14e-01
9.51e-01	1.09e-01
1.19e+00	1.02e-01
1.53e+00	9.52e-02
2.16e+00	8.86e-02
3.86e+00	8.26e-02
5.72e+00	8.49e-02
