# HESS II Impact Energy Bias Stereo - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Bias
1.06e-01	2.60e-01
1.11e-01	2.49e-01
1.28e-01	2.11e-01
1.50e-01	1.67e-01
1.70e-01	1.44e-01
1.95e-01	1.17e-01
2.15e-01	1.00e-01
2.48e-01	8.27e-02
2.89e-01	6.51e-02
3.82e-01	5.26e-02
7.28e-01	4.87e-02
1.31e+00	3.73e-02
2.19e+00	2.41e-02
3.22e+00	1.07e-02
4.56e+00	3.96e-03
