
CTA Performance - Northern site
for further details, see:
www.cta-observatory.org/science/cta-performance/ (prod3b-v2)
=======================================================
Effective area (after gamma/hadron separation and direction cuts)
=======================================================

E (TeV) 	 Effective
        	 Area (m^2)
------- 	------------------
0.0158		 805
0.0178		 1.36e+03
0.02		 2.94e+03
0.0224		 4.52e+03
0.0251		 7.42e+03
0.0282		 1.03e+04
0.0316		 1.41e+04
0.0355		 1.79e+04
0.0398		 2.19e+04
0.0447		 2.58e+04
0.0501		 2.98e+04
0.0562		 3.38e+04
0.0631		 4.04e+04
0.0708		 4.71e+04
0.0794		 5.81e+04
0.0891		 6.91e+04
0.1		 7.94e+04
0.112		 8.98e+04
0.126		 1.02e+05
0.141		 1.14e+05
0.158		 1.25e+05
0.178		 1.36e+05
0.2		 1.49e+05
0.224		 1.61e+05
0.251		 1.75e+05
0.282		 1.89e+05
0.316		 2.01e+05
0.355		 2.12e+05
0.398		 2.28e+05
0.447		 2.44e+05
0.501		 2.63e+05
0.562		 2.83e+05
0.631		 2.98e+05
0.708		 3.14e+05
0.794		 3.38e+05
0.891		 3.62e+05
1		 3.89e+05
1.12		 4.17e+05
1.26		 4.52e+05
1.41		 4.86e+05
1.58		 5.22e+05
1.78		 5.58e+05
2		 5.9e+05
2.24		 6.22e+05
2.51		 6.58e+05
2.82		 6.93e+05
3.16		 7.14e+05
3.55		 7.35e+05
3.98		 7.59e+05
4.47		 7.82e+05
5.01		 8.12e+05
5.62		 8.41e+05
6.31		 8.42e+05
7.08		 8.43e+05
7.94		 8.61e+05
8.91		 8.78e+05
10		 8.94e+05
11.2		 9.09e+05
12.6		 9.18e+05
14.1		 9.27e+05
15.8		 9.45e+05
17.8		 9.62e+05
20		 9.7e+05
22.4		 9.78e+05
25.1		 9.68e+05
28.2		 9.57e+05
31.6		 9.65e+05
35.5		 9.73e+05
39.8		 9.82e+05
44.7		 9.9e+05
50.1		 9.72e+05
56.2		 9.53e+05
63.1		 9.6e+05
70.8		 9.66e+05
79.4		 9.72e+05
89.1		 9.79e+05
100		 9.43e+05
112		 9.07e+05
126		 8.91e+05
141		 8.74e+05
